id,original,surface,pronunciation
1160,海ノ口,海ノ口,うみのくち
1161,海の公園柴口,海の公園柴口,うみのこうえんしばぐち
1162,海の公園南口,海の公園南口,うみのこうえんみなみぐち
1163,海ノ中道,海ノ中道,うみのなかみち
1164,梅ヶ丘,梅ヶ丘,うめがおか
1165,梅ヶ沢,梅ヶ沢,うめがさわ
1166,梅ヶ谷,梅ヶ谷,うめがだに
1167,梅ヶ峠,梅ヶ峠,うめがとう
1168,梅迫,梅迫,うめざこ
1169,梅郷,梅郷,うめさと
1170,梅島,梅島,うめじま
1171,梅田,梅田,うめだ
1172,梅坪,梅坪,うめつぼ
1173,梅戸井,梅戸井,うめどい
1174,梅の辻,梅の辻,うめのつじ
1175,梅本,梅本,うめのもと
1176,梅林,梅林,うめばやし
1177,梅屋敷,梅屋敷,うめやしき
1178,梅屋敷,梅屋敷,うめやしき
1179,梅山,梅山,うめやま
1180,敬川,敬川,うやがわ
1181,浦臼,浦臼,うらうす
1182,浦賀,浦賀,うらが
1183,浦上,浦上,うらかみ
1184,浦上駅前,浦上駅前,うらかみえきまえ
1185,浦上車庫前,浦上車庫前,うらかみしゃこまえ
1186,浦河,浦河,うらかわ
1187,浦川,浦川,うらかわ
1188,うらがわら,うらがわら,うらがわら
1189,浦佐,浦佐,うらさ
1190,浦宿,浦宿,うらしゅく
1191,浦田,浦田,うらた
1192,浦田,浦田,うらだ
1193,浦ノ崎,浦ノ崎,うらのさき
1194,浦幌,浦幌,うらほろ
1195,浦本,浦本,うらもと
1196,浦安,浦安,うらやす
1197,浦安,浦安,うらやす
1198,浦山,浦山,うらやま
1199,浦山口,浦山口,うらやまぐち
1200,浦和,浦和,うらわ
1201,浦和美園,浦和美園,うらわみその
1202,瓜連,瓜連,うりづら
1203,蔚山町,蔚山町,うるさんまち
1204,漆山,漆山,うるしやま
1205,上挙母,上挙母,うわごろも
1206,宇和島,宇和島,うわじま
1207,運河,運河,うんが
1208,雲州平田,雲州平田,うんしゅうひらた
1209,運動公園,運動公園,うんどうこうえん
1210,運動公園,運動公園,うんどうこうえん
1211,運動公園前,運動公園前,うんどうこうえんまえ
1212,運動公園前,運動公園前,うんどうこうえんまえ
1213,頴娃,頴娃,えい
1214,頴娃大川,頴娃大川,えいおおかわ
1215,江井ヶ島,江井ヶ島,えいがしま
1216,永犬丸,永犬丸,えいのまる
1217,永福町,永福町,えいふくちょう
1218,永平寺口,永平寺口,えいへいじぐち
1219,永和,永和,えいわ
1220,永覚,永覚,えかく
1221,恵我ノ荘,恵我ノ荘,えがのしょう
1222,江川崎,江川崎,えかわさき
1223,江木,江木,えぎ
1224,駅前,駅前,えきまえ
1225,駅前大通,駅前大通,えきまえおおどおり
1226,駅家,駅家,えきや
1227,江吉良,江吉良,えぎら
1228,江口,江口,えぐち
1229,江古田,江古田,えこだ
1230,江坂,江坂,えさか
1231,江崎,江崎,えさき
1232,江島,江島,えじま
1233,江尻,江尻,えじり
1234,江住,江住,えすみ
1235,江曽島,江曽島,えそじま
1236,江田,江田,えだ
1237,江田,江田,えだ
1238,枝川,枝川,えだがわ
1239,枝川,枝川,えだがわ
1240,枝光,枝光,えだみつ
1241,愛知川,愛知川,えちがわ
1242,越後赤塚,越後赤塚,えちごあかつか
1243,越後石山,越後石山,えちごいしやま
1244,越後岩沢,越後岩沢,えちごいわさわ
1245,越後岩塚,越後岩塚,えちごいわつか
1246,越後大島,越後大島,えちごおおしま
1247,越後片貝,越後片貝,えちごかたかい
1248,越後金丸,越後金丸,えちごかなまる
1249,越後川口,越後川口,えちごかわぐち
1250,越後寒川,越後寒川,えちごかんがわ
1251,越後鹿渡,越後鹿渡,えちごしかわたり
1252,越後下関,越後下関,えちごしもせき
1253,越後須原,越後須原,えちごすはら
1254,越後曽根,越後曽根,えちごそね
1255,越後滝谷,越後滝谷,えちごたきや
1256,越後田沢,越後田沢,えちごたざわ
1257,越後田中,越後田中,えちごたなか
1258,越後中里,越後中里,えちごなかざと
1259,越後早川,越後早川,えちごはやかわ
1260,越後広瀬,越後広瀬,えちごひろせ
1261,越後広田,越後広田,えちごひろた
1262,越後堀之内,越後堀之内,えちごほりのうち
1263,越後水沢,越後水沢,えちごみずさわ
1264,越後湯沢,越後湯沢,えちごゆざわ
1265,越前大野,越前大野,えちぜんおおの
1266,越前大宮,越前大宮,えちぜんおおみや
1267,越前開発,越前開発,えちぜんかいほつ
1268,越前島橋,越前島橋,えちぜんしまばし
1269,越前下山,越前下山,えちぜんしもやま
1270,越前新保,越前新保,えちぜんしんぼ
1271,越前高田,越前高田,えちぜんたかだ
1272,越前武生,越前武生,えちぜんたけふ
1273,越前竹原,越前竹原,えちぜんたけわら
1274,越前田野,越前田野,えちぜんたの
1275,越前東郷,越前東郷,えちぜんとうごう
1276,越前富田,越前富田,えちぜんとみだ
1277,越前野中,越前野中,えちぜんのなか
1278,越前花堂,越前花堂,えちぜんはなんどう
1279,越前薬師,越前薬師,えちぜんやくし
1280,越中泉,越中泉,えっちゅういずみ
1281,越中荏原,越中荏原,えっちゅうえばら
1282,越中国分,越中国分,えっちゅうこくぶ
1283,越中三郷,越中三郷,えっちゅうさんごう
1284,越中島,越中島,えっちゅうじま
1285,越中大門,越中大門,えっちゅうだいもん
1286,越中中川,越中中川,えっちゅうなかがわ
1287,越中中島,越中中島,えっちゅうなかじま
1288,越中中村,越中中村,えっちゅうなかむら
1289,越中舟橋,越中舟橋,えっちゅうふなはし
1290,越中宮崎,越中宮崎,えっちゅうみやざき
1291,越中八尾,越中八尾,えっちゅうやつお
1292,越中山田,越中山田,えっちゅうやまだ
1293,江釣子,江釣子,えづりこ
1294,江戸川,江戸川,えどがわ
1295,江戸川台,江戸川台,えどがわだい
1296,江戸川橋,江戸川橋,えどがわばし
1297,江戸橋,江戸橋,えどばし
1298,恵那,恵那,えな
1299,榎井,榎井,えない
1300,恵庭,恵庭,えにわ
1301,江の浦,江の浦,えのうら
1302,榎戸,榎戸,えのきど
1303,榎戸,榎戸,えのきど
1304,榎町,榎町,えのきまち
1305,江ノ島,江ノ島,えのしま
1306,江波,江波,えば
1307,江端,江端,えばた
1308,江原,江原,えばら
1309,荏原中延,荏原中延,えばらなかのぶ
1310,荏原町,荏原町,えばらまち
1311,江尾,江尾,えび
1312,海老江,海老江,えびえ
1313,恵比島,恵比島,えびしま
1314,恵比寿,恵比寿,えびす
1315,恵比須,恵比須,えびす
1316,恵美須町,恵美須町,えびすちょう
1317,胡町,胡町,えびすちょう
1318,海老津,海老津,えびつ
1319,海老名,海老名,えびな
1320,えびの,えびの,えびの
1321,えびの飯野,えびの飯野,えびのいいの
1322,えびの上江,えびの上江,えびのうわえ
1323,絵笛,絵笛,えふえ
1324,江部乙,江部乙,えべおつ
1325,江別,江別,えべつ
1326,江見,江見,えみ
1327,江迎鹿町,江迎鹿町,えむかえしかまち
1328,恵良,恵良,えら
1329,襟野々,襟野々,えりのの
1330,遠軽,遠軽,えんがる
1331,円行寺口,円行寺口,えんぎょうじぐち
1332,猿猴橋町,猿猴橋町,えんこうばしちょう
1333,円座,円座,えんざ
1334,塩山,塩山,えんざん
1335,遠州岩水寺,遠州岩水寺,えんしゅうがんすいじ
1336,遠州小林,遠州小林,えんしゅうこばやし
1337,遠州小松,遠州小松,えんしゅうこまつ
1338,遠州芝本,遠州芝本,えんしゅうしばもと
1339,遠州西ヶ崎,遠州西ヶ崎,えんしゅうにしがさき
1340,遠州病院,遠州病院,えんしゅうびょういん
1341,遠州森,遠州森,えんしゅうもり
1342,円田,円田,えんでん
1343,渕東,渕東,えんどう
1344,延徳,延徳,えんとく
1345,円町,円町,えんまち
1346,笈川,笈川,おいかわ
1347,置賜,置賜,おいたま
1348,老津,老津,おいつ
1349,追良瀬,追良瀬,おいらせ
1350,追分,追分,おいわけ
1351,追分,追分,おいわけ
1352,追分,追分,おいわけ
1353,追分,追分,おいわけ
1354,追分口,追分口,おいわけぐち
1355,相可,相可,おうか
1356,扇大橋,扇大橋,おうぎおおはし
1357,扇沢,扇沢,おうぎさわ
1358,扇田,扇田,おうぎた
1359,扇町,扇町,おうぎまち
1360,扇町,扇町,おうぎまち
1361,王子,王子,おうじ
1362,王寺,王寺,おうじ
1363,王子駅前,王子駅前,おうじえきまえ
1364,王子保,王子保,おうしお
1365,王子神谷,王子神谷,おうじかみや
1366,王子公園,王子公園,おうじこうえん
1367,皇子山,皇子山,おうじやま
1368,麻生田,麻生田,おうだ
1369,網田,網田,おうだ
1370,相知,相知,おうち
1371,奥武山公園,奥武山公園,おうのやまこうえん
1372,黄檗,黄檗,おうばく
1373,黄檗,黄檗,おうばく
1374,青海,青海,おうみ
1375,近江今津,近江今津,おうみいまづ
1376,青海川,青海川,おうみがわ
1377,近江塩津,近江塩津,おうみしおつ
1378,近江神宮前,近江神宮前,おうみじんぐうまえ
1379,近江高島,近江高島,おうみたかしま
1380,近江長岡,近江長岡,おうみながおか
1381,近江中庄,近江中庄,おうみなかしょう
1382,近江八幡,近江八幡,おうみはちまん
1383,近江舞子,近江舞子,おうみまいこ
1384,青梅,青梅,おうめ
1385,青梅街道,青梅街道,おうめかいどう
1386,小江,小江,おえ
1387,麻植塚,麻植塚,おえづか
1388,大麻,大麻,おおあさ
1389,大麻生,大麻生,おおあそう
1390,大阿太,大阿太,おおあだ
1391,大網,大網,おおあみ
1392,大洗,大洗,おおあらい
1393,大池,大池,おおいけ
1394,大池いこいの森,大池いこいの森,おおいけいこいのもり
1395,大井競馬場前,大井競馬場前,おおいけいばじょうまえ
1396,大池遊園,大池遊園,おおいけゆうえん
1397,大石,大石,おおいし
1398,大石田,大石田,おおいしだ
1399,大泉,大泉,おおいずみ
1400,大泉,大泉,おおいずみ
1401,大泉,大泉,おおいずみ
1402,大泉学園,大泉学園,おおいずみがくえん
1403,大磯,大磯,おおいそ
1404,大分,大分,おおいた
1405,大板井,大板井,おおいたい
1406,大分大学前,大分大学前,おおいただいがくまえ
1407,太市,太市,おおいち
1408,大井町,大井町,おおいまち
1409,大岩,大岩,おおいわ
1410,大内,大内,おおうち
1411,大内山,大内山,おおうちやま
1412,大浦,大浦,おおうら
1413,大浦海岸通,大浦海岸通,おおうらかいがんどおり
1414,大浦天主堂下,大浦天主堂下,おおうらてんしゅどうした
1415,大江,大江,おおえ
1416,大江,大江,おおえ
1417,大江高校前,大江高校前,おおえこうこうまえ
1418,大江橋,大江橋,おおえばし
1419,大江山口内宮,大江山口内宮,おおえやまぐちないく
1420,大岡,大岡,おおおか
1421,大岡山,大岡山,おおおかやま
1422,大神,大神,おおが
1423,大街道,大街道,おおかいどう
1424,大垣,大垣,おおがき
1425,大形,大形,おおがた
1426,大金,大金,おおがね
1427,大釜,大釜,おおかま
1428,大狩部,大狩部,おおかりべ
1429,大川,大川,おおかわ
1430,大川平,大川平,おおかわだい
1431,大川ダム公園,大川ダム公園,おおかわだむこうえん
1432,大河内,大河内,おおかわち
1433,大川野,大川野,おおかわの
1434,大河原,大河原,おおかわら
1435,大河原,大河原,おおがわら
1436,大城,大城,おおき
1437,青木,青木,おおぎ
1438,大木,大木,おおぎ
1439,大岸,大岸,おおきし
1440,大久喜,大久喜,おおくき
1441,大草,大草,おおくさ
1442,大口,大口,おおぐち
1443,大久保,大久保,おおくぼ
1444,大久保,大久保,おおくぼ
1445,大久保,大久保,おおくぼ
1446,大久保,大久保,おおくぼ
1447,逢隈,逢隈,おおくま
1448,大蔵谷,大蔵谷,おおくらだに
1449,大倉山,大倉山,おおくらやま
1450,大倉山,大倉山,おおくらやま
1451,大桑,大桑,おおくわ
1452,大桑,大桑,おおくわ
1453,大胡,大胡,おおご
1454,大越,大越,おおごえ
1455,大在,大在,おおざい
1456,大阪,大阪,おおさか
1457,大阪阿部野橋,大阪阿部野橋,おおさかあべのばし
1458,大阪上本町,大阪上本町,おおさかうえほんまち
1459,大阪教育大前,大阪教育大前,おおさかきょういくだいまえ
1460,大阪空港,大阪空港,おおさかくうこう
1461,大阪港,大阪港,おおさかこう
1462,大阪狭山市,大阪狭山市,おおさかさやまし
1463,大阪城北詰,大阪城北詰,おおさかじょうきたづめ
1464,大阪城公園,大阪城公園,おおさかじょうこうえん
1465,大阪天満宮,大阪天満宮,おおさかてんまんぐう
1466,大阪難波,大阪難波,おおさかなんば
1467,大阪ビジネスパーク,大阪ビジネスパーク,おおさかびじねすぱーく
1468,大崎,大崎,おおさき
1469,大崎広小路,大崎広小路,おおさきひろこうじ
1470,大佐倉,大佐倉,おおさくら
1471,大里,大里,おおさと
1472,大沢,大沢,おおさわ
1473,大沢,大沢,おおさわ
1474,大沢内,大沢内,おおざわない
1475,大塩,大塩,おおしお
1476,大志田,大志田,おおしだ
1477,大篠津町,大篠津町,おおしのづちょう
1478,大島,大島,おおしま
1479,大島,大島,おおじま
1480,大清水,大清水,おおしみず
1481,大蛇,大蛇,おおじゃ
1482,大庄,大庄,おおしょう
1483,大小路,大小路,おおしょうじ
1484,大白川,大白川,おおしらかわ
1485,大須観音,大須観音,おおすかんのん
1486,大杉,大杉,おおすぎ
1487,大住,大住,おおすみ
1488,大隅大川原,大隅大川原,おおすみおおかわら
1489,大隅夏井,大隅夏井,おおすみなつい
1490,大隅横川,大隅横川,おおすみよこがわ
1491,大関,大関,おおぜき
1492,大堰,大堰,おおぜき
1493,大曽根,大曽根,おおぞね
1494,大曽根浦,大曽根浦,おおそねうら
1495,大嵐,大嵐,おおぞれ
1496,太田,太田,おおた
1497,太田,太田,おおた
1498,大平,大平,おおだい
1499,大高,大高,おおだか
1500,太田川,太田川,おおたがわ
1501,大滝,大滝,おおたき
1502,大多喜,大多喜,おおたき
1503,大滝温泉,大滝温泉,おおたきおんせん
1504,大田切,大田切,おおたぎり
1505,大田口,大田口,おおたぐち
1506,大竹,大竹,おおたけ
1507,大田郷,大田郷,おおたごう
1508,大田市,大田市,おおだし
1509,大館,大館,おおだて
1510,大谷,大谷,おおたに
1511,大谷,大谷,おおたに
1512,太田部,太田部,おおたべ
1513,大多羅,大多羅,おおだら
1514,大津,大津,おおつ
1515,大塚,大塚,おおつか
1516,大塚,大塚,おおつか
1517,大塚駅前,大塚駅前,おおつかえきまえ
1518,大塚・帝京大学,大塚・帝京大学,おおつか・ていきょうだいがく
1519,大月,大月,おおつき
1520,大津京,大津京,おおつきょう
1521,大津港,大津港,おおつこう
1522,大槌,大槌,おおつち
1523,大津町,大津町,おおつまち
1524,大鶴,大鶴,おおつる
1525,大手町,大手町,おおてまち
1526,大手町,大手町,おおてまち
1527,大手モール,大手モール,おおてもーる
1528,大寺,大寺,おおてら
1529,大戸,大戸,おおと
1530,大堂津,大堂津,おおどうつ
1531,大通,大通,おおどおり
1532,大歳,大歳,おおとし
1533,大戸瀬,大戸瀬,おおどせ
1534,大鳥羽,大鳥羽,おおとば
1535,大外羽,大外羽,おおとば
1536,大泊,大泊,おおどまり
1537,大富,大富,おおどみ
1538,鳳,鳳,おおとり
1539,大鳥居,大鳥居,おおとりい
1540,大土呂,大土呂,おおどろ
1541,大中,大中,おおなか
1542,大中山,大中山,おおなかやま
1543,大西,大西,おおにし
1544,大庭,大庭,おおにわ
1545,大貫,大貫,おおぬき
1546,大沼,大沼,おおぬま
1547,大沼公園,大沼公園,おおぬまこうえん
1548,大野,大野,おおの
1549,大野浦,大野浦,おおのうら
1550,多ノ郷,多ノ郷,おおのごう
1551,大野下,大野下,おおのしも
1552,大野城,大野城,おおのじょう
1553,大野台,大野台,おおのだい
1554,大野原,大野原,おおのはら
1555,大野町,大野町,おおのまち
1556,大乗,大乗,おおのり
1557,大橋,大橋,おおはし
1558,大橋,大橋,おおはし
1559,大橋通,大橋通,おおはしどおり
1560,大畠,大畠,おおばたけ
1561,大波止,大波止,おおはと
1562,大羽根園,大羽根園,おおばねえん
1563,大原,大原,おおはら
1564,大原,大原,おおはら
1565,大原,大原,おおばら
1566,大張野,大張野,おおばりの
1567,大仁,大仁,おおひと
1568,大平下,大平下,おおひらした
1569,大平台,大平台,おおひらだい
1570,大広田,大広田,おおひろた
1571,大府,大府,おおぶ
1572,大袋,大袋,おおぶくろ
1573,大更,大更,おおぶけ
1574,大船,大船,おおふな
1575,大船渡,大船渡,おおふなと
1576,大保,大保,おおほ
1577,大歩危,大歩危,おおぼけ
1578,大堀,大堀,おおほり
1579,大濠公園,大濠公園,おおほりこうえん
1580,大間,大間,おおま
1581,大前,大前,おおまえ
1582,大曲,大曲,おおまがり
1583,大間越,大間越,おおまごし
1584,大町,大町,おおまち
1585,大町,大町,おおまち
1586,大町,大町,おおまち
1587,大町,大町,おおまち
1588,大町,大町,おおまち
1589,大町,大町,おおまち
1590,大間々,大間々,おおまま
1591,大海,大海,おおみ
1592,大甕,大甕,おおみか
1593,大三東,大三東,おおみさき
1594,大溝,大溝,おおみぞ
1595,大三,大三,おおみつ
1596,大湊,大湊,おおみなと
1597,大宮,大宮,おおみや
1598,大宮,大宮,おおみや
1599,大宮公園,大宮公園,おおみやこうえん
1600,大牟田,大牟田,おおむた
1601,大村,大村,おおむら
1602,大村,大村,おおむら
1603,大元,大元,おおもと
1604,大森,大森,おおもり
1605,大森,大森,おおもり
1606,大森・金城学院前,大森・金城学院前,おおもり・きんじょうがくいんまえ
1607,大森海岸,大森海岸,おおもりかいがん
1608,大森台,大森台,おおもりだい
1609,大森町,大森町,おおもりまち
1610,大屋,大屋,おおや
1611,大矢,大矢,おおや
1612,大谷海岸,大谷海岸,おおやかいがん
1613,大谷地,大谷地,おおやち
1614,大矢知,大矢知,おおやち
1615,大藪,大藪,おおやぶ
1616,大山,大山,おおやま
1617,大山,大山,おおやま
1618,大山ケーブル,大山ケーブル,おおやまけーぶる
1619,大山崎,大山崎,おおやまざき
1620,大山寺,大山寺,おおやまでら
1621,大和田,大和田,おおわだ
1622,大和田,大和田,おおわだ
1623,大和田,大和田,おおわだ
1624,大輪田,大輪田,おおわだ
1625,大鰐,大鰐,おおわに
1626,大鰐温泉,大鰐温泉,おおわにおんせん
1627,岡,岡,おか
1628,男鹿,男鹿,おが
1629,小垣江,小垣江,おがきえ
1630,岡崎,岡崎,おかざき
1631,岡崎公園前,岡崎公園前,おかざきこうえんまえ
1632,岡崎前,岡崎前,おかざきまえ
1633,笑内,笑内,おかしない
1634,苧ヶ瀬,苧ヶ瀬,おがせ
1635,岡田,岡田,おかだ
1636,岡田,岡田,おかだ
1637,小ヶ田,小ヶ田,おがた
1638,緒方,緒方,おがた
1639,岡田浦,岡田浦,おかだうら
1640,御徒町,御徒町,おかちまち
1641,岡寺,岡寺,おかでら
1642,おかどめ幸福,おかどめ幸福,おかどめこうふく
1643,岡場,岡場,おかば
1644,岡花,岡花,おかばな
1645,岡部,岡部,おかべ
1646,岡町,岡町,おかまち
1647,岡見,岡見,おかみ
1648,岡本,岡本,おかもと
1649,岡本,岡本,おかもと
1650,岡本,岡本,おかもと
1651,岡谷,岡谷,おかや
1652,岡山,岡山,おかやま
1653,岡山駅前,岡山駅前,おかやまえきまえ
1654,小川,小川,おがわ
1655,緒川,緒川,おがわ
1656,小川,小川,おがわ
1657,小川郷,小川郷,おがわごう
1658,小川町,小川町,おがわまち
1659,小川町,小川町,おがわまち
1660,小城,小城,おぎ
1661,荻川,荻川,おぎかわ
1662,荻窪,荻窪,おぎくぼ
1663,興津,興津,おきつ
1664,小木津,小木津,おぎつ
1665,翁島,翁島,おきなしま
1666,荻野,荻野,おぎの
1667,荻布,荻布,おぎの
1668,小木ノ城,小木ノ城,おぎのじょう
1669,荻伏,荻伏,おぎふし
1670,沖松島,沖松島,おきまつしま
1671,荻生,荻生,おぎゅう
1672,尾久,尾久,おく
1673,邑久,邑久,おく
1674,奥阿仁,奥阿仁,おくあに
1675,奥泉,奥泉,おくいずみ
1676,奥大井湖上,奥大井湖上,おくおおいこじょう
1677,奥沢,奥沢,おくさわ
1678,小串郷,小串郷,おぐしごう
1679,奥田,奥田,おくだ
1680,奥田中学校前,奥田中学校前,おくだちゅうがっこうまえ
1681,奥多摩,奥多摩,おくたま
1682,奥町,奥町,おくちょう
1683,奥洞海,奥洞海,おくどうかい
1684,奥内,奥内,おくない
1685,奥中山高原,奥中山高原,おくなかやまこうげん
1686,小国,小国,おぐに
1687,奥新川,奥新川,おくにっかわ
1688,奥浜名湖,奥浜名湖,おくはまなこ
1689,小倉,小倉,おぐら
1690,小倉台,小倉台,おぐらだい
1691,桶川,桶川,おけがわ
1692,小郡,小郡,おごおり
1693,越生,越生,おごせ
1694,小古曽,小古曽,おごそ
1695,おごと温泉,おごと温泉,おごとおんせん
1696,大畑,大畑,おこば
1697,大河端,大河端,おこばた
1698,長,長,おさ
1699,刑部,刑部,おさかべ
1700,尾崎,尾崎,おざき
1701,小作,小作,おざく
1702,筬島,筬島,おさしま
1703,長都,長都,おさつ
1704,於札内,於札内,おさつない
1705,長船,長船,おさふね
1706,納内,納内,おさむない
1707,押上,押上,おしあげ
1708,小塩江,小塩江,おしおえ
1709,男鹿高原,男鹿高原,おじかこうげん
1710,押切,押切,おしきり
1711,押野,押野,おしの
1712,押部谷,押部谷,おしべだに
1713,小島,小島,おしま
1714,渡島大野,渡島大野,おしまおおの
1715,渡島砂原,渡島砂原,おしまさわら
1716,渡島当別,渡島当別,おしまとうべつ
1717,渡島沼尻,渡島沼尻,おしまぬまじり
1718,小島谷,小島谷,おじまや
1719,忍海,忍海,おしみ
1720,長万部,長万部,おしゃまんべ
1721,尾白内,尾白内,おしろない
1722,尾関山,尾関山,おぜきやま
1723,晩生内,晩生内,おそきない
1724,小田,小田,おだ
1725,小田,小田,おだ
1726,小田井,小田井,おたい
1727,小台,小台,おだい
1728,お台場海浜公園,お台場海浜公園,おだいばかいひんこうえん
1729,小高,小高,おだか
1730,小田急相模原,小田急相模原,おだきゅうさがみはら
1731,小田急多摩センター,小田急多摩センター,おだきゅうたませんたー
1732,小田急永山,小田急永山,おだきゅうながやま
1733,大楽毛,大楽毛,おたのしけ
1734,小田林,小田林,おたばやし
1735,小田渕,小田渕,おだぶち
1736,小樽,小樽,おたる
1737,小樽築港,小樽築港,おたるちっこう
1738,小田原,小田原,おだわら
1739,落合,落合,おちあい
1740,落合,落合,おちあい
1741,落合川,落合川,おちあいがわ
1742,落合南長崎,落合南長崎,おちあいみなみながさき
1743,落居,落居,おちい
1744,落石,落石,おちいし
1745,小千谷,小千谷,おぢや
1746,御茶ノ水,御茶ノ水,おちゃのみず
1747,乙川,乙川,おっかわ
1748,小月,小月,おづき
1749,乙供,乙供,おっとも
1750,追浜,追浜,おっぱま
1751,音威子府,音威子府,おといねっぷ
1752,尾頭橋,尾頭橋,おとうばし
1753,男川,男川,おとがわ
1754,男山山上,男山山上,おとこやまさんじょう
1755,音沢,音沢,おとざわ
1756,落部,落部,おとしべ
1757,乙丸,乙丸,おとまる
1758,乙女,乙女,おとめ
1759,小友,小友,おとも
1760,踊場,踊場,おどりば
1761,音羽町,音羽町,おとわちょう
1762,尾奈,尾奈,おな
1763,女川,女川,おながわ
1764,御成門,御成門,おなりもん
1765,鬼瀬,鬼瀬,おにがせ
1766,鬼越,鬼越,おにごえ
1767,鬼塚,鬼塚,おにづか
1768,小奴可,小奴可,おぬか
1769,小野,小野,おの
1770,小野,小野,おの
1771,小野,小野,おの
1772,小野,小野,おの
1773,尾上高校前,尾上高校前,おのえこうこうまえ
1774,尾上の松,尾上の松,おのえのまつ
1775,小野上,小野上,おのがみ
1776,小野上温泉,小野上温泉,おのがみおんせん
1777,小野田,小野田,おのだ
1778,小野田港,小野田港,おのだこう
1779,雄信内,雄信内,おのっぷない
1780,小野新町,小野新町,おのにいまち
1781,尾登,尾登,おのぼり
1782,小野本町,小野本町,おのほんまち
1783,小野町,小野町,おのまち
1784,尾道,尾道,おのみち
1785,小野屋,小野屋,おのや
1786,姨捨,姨捨,おばすて
1787,小波瀬西工大前,小波瀬西工大前,おばせにしこうだいまえ
1788,小幡,小幡,おばた
1789,小俣,小俣,おばた
1790,小幡緑地,小幡緑地,おばたりょくち
1791,お花茶屋,お花茶屋,おはなぢゃや
1792,御花畑,御花畑,おはなばたけ
1793,小浜,小浜,おばま
1794,小林,小林,おばやし
1795,小原,小原,おばら
1796,飫肥,飫肥,おび
1797,帯織,帯織,おびおり
1798,小櫃,小櫃,おびつ
1799,帯解,帯解,おびとけ
1800,帯広,帯広,おびひろ
1801,於福,於福,おふく
1802,男衾,男衾,おぶすま
1803,小布施,小布施,おぶせ
1804,尾幌,尾幌,おぼろ
1805,小前田,小前田,おまえだ
1806,小俣,小俣,おまた
1807,小見川,小見川,おみがわ
1808,小村井,小村井,おむらい
1809,小村神社前,小村神社前,おむらじんじゃまえ
1810,御室仁和寺,御室仁和寺,おむろにんなじ
1811,思川,思川,おもいがわ
1812,面影橋,面影橋,おもかげばし
1813,面白山高原,面白山高原,おもしろやまこうげん
1814,おもちゃのまち,おもちゃのまち,おもちゃのまち
1815,表参道,表参道,おもてさんどう
1816,小本,小本,おもと
1817,尾盛,尾盛,おもり
1818,おもろまち,おもろまち,おもろまち
1819,親不知,親不知,おやしらず
1820,小柳,小柳,おやなぎ
1821,親鼻,親鼻,おやはな
1822,小山,小山,おやま
1823,小山田,小山田,おやまだ
1824,尾山台,尾山台,おやまだい
1825,おゆみ野,おゆみ野,おゆみの
1826,折居,折居,おりい
1827,折尾,折尾,おりお
1828,織笠,織笠,おりかさ
1829,折壁,折壁,おりかべ
1830,折口,折口,おりぐち
1831,下立,下立,おりたて
1832,下立口,下立口,おりたてぐち
1833,おりはた,おりはた,おりはた
1834,折原,折原,おりはら
1835,織部,織部,おりべ
1836,折本,折本,おりもと
1837,折生迫,折生迫,おりゅうざこ
1838,折渡,折渡,おりわたり
1839,オレンジタウン,オレンジタウン,おれんじたうん
1840,小禄,小禄,おろく
1841,卸町,卸町,おろしまち
1842,尾鷲,尾鷲,おわせ
1843,大和田,大和田,おわだ
1844,尾張旭,尾張旭,おわりあさひ
1845,尾張一宮,尾張一宮,おわりいちのみや
1846,尾張瀬戸,尾張瀬戸,おわりせと
1847,尾張星の宮,尾張星の宮,おわりほしのみや
1848,尾張森岡,尾張森岡,おわりもりおか
1849,尾張横須賀,尾張横須賀,おわりよこすか
1850,遠賀川,遠賀川,おんががわ
1851,遠賀野,遠賀野,おんがの
1852,御宿,御宿,おんじゅく
1853,恩田,恩田,おんだ
1854,御嶽山,御嶽山,おんたけさん
1855,恩智,恩智,おんぢ
1856,恩根内,恩根内,おんねない
1857,乙原,乙原,おんばら
1858,音別,音別,おんべつ
1859,ガーラ湯沢,ガーラ湯沢,がーらゆざわ
1860,甲斐岩間,甲斐岩間,かいいわま
1861,甲斐上野,甲斐上野,かいうえの
1862,外苑前,外苑前,がいえんまえ
1863,海王丸,海王丸,かいおうまる
1864,甲斐大泉,甲斐大泉,かいおおいずみ
1865,甲斐大島,甲斐大島,かいおおしま
1866,海岸寺,海岸寺,かいがんじ
1867,海岸通,海岸通,かいがんどおり
1868,甲斐小泉,甲斐小泉,かいこいずみ
1869,蚕ノ社,蚕ノ社,かいこのやしろ
1870,海崎,海崎,かいざき
1871,海路,海路,かいじ
1872,海神,海神,かいじん
1873,甲斐住吉,甲斐住吉,かいすみよし
1874,海瀬,海瀬,かいぜ
1875,皆瀬,皆瀬,かいぜ
1876,開成,開成,かいせい
1877,貝田,貝田,かいだ
1878,海田市,海田市,かいたいち
1879,貝津,貝津,かいづ
1880,貝塚,貝塚,かいづか
1881,貝塚,貝塚,かいづか
1882,貝塚市役所前,貝塚市役所前,かいづかしやくしょまえ
1883,甲斐常葉,甲斐常葉,かいときわ
1884,荷稲,荷稲,かいな
1885,海南,海南,かいなん
1886,柏原,柏原,かいばら
1887,海浜幕張,海浜幕張,かいひんまくはり
1888,海部,海部,かいふ
