id,original,surface,pronunciation,type,org,debut_year,status
261,ザビーネ・ホッセンフェルダー,ホッセンフェルダー,ホッセンフェルダー,family,アメリカ物理学会/ドイツ物理学会/北欧理論物理学研究所/重イオン研究所,NA,current
261,ザビーネ・ホッセンフェルダー,ザビーネ,ザビーネ,given,アメリカ物理学会/ドイツ物理学会/北欧理論物理学研究所/重イオン研究所,NA,current
261,ザビーネ・ホッセンフェルダー,ザビーネ・ホッセンフェルダー,ザビーネ・ホッセンフェルダー,full,アメリカ物理学会/ドイツ物理学会/北欧理論物理学研究所/重イオン研究所,NA,current
262,ザ・オッド・ワンズ・アウト,アウト,アウト,family,NA,2014,current
262,ザ・オッド・ワンズ・アウト,ザ,ザ,given,NA,2014,current
262,ザ・オッド・ワンズ・アウト,ザ・オッド・ワンズ・アウト,ザ・オッド・ワンズ・アウト,full,NA,2014,current
263,シイナナルミ,シイナナルミ,シイナナルミ,full,NA,NA,current
264,シェイン・トップ,トップ,トップ,family,スモッシュ,2006,current
264,シェイン・トップ,シェイン,シェイン,given,スモッシュ,2006,current
264,シェイン・トップ,シェイン・トップ,シェイン・トップ,full,スモッシュ,2006,current
265,シェイ・ミッチェル,ミッチェル,ミッチェル,family,NA,2009,current
265,シェイ・ミッチェル,シェイ,シェイ,given,NA,2009,current
265,シェイ・ミッチェル,シェイ・ミッチェル,シェイ・ミッチェル,full,NA,2009,current
266,シェネイ・グライムス,グライムス,グライムス,family,NA,2004,current
266,シェネイ・グライムス,シェネイ,シェネイ,given,NA,2004,current
266,シェネイ・グライムス,シェネイ・グライムス,シェネイ・グライムス,full,NA,2004,current
267,シェーン・ドーソン,ドーソン,ドーソン,family,NA,2008,former
267,シェーン・ドーソン,シェーン,シェーン,given,NA,2008,former
267,シェーン・ドーソン,シェーン・ドーソン,シェーン・ドーソン,full,NA,2008,former
268,シバター,シバター,シバター,full,NA,NA,current
269,シャーシュエ,シャーシュエ,シャーシュエ,full,NA,NA,current
270,シャーリー・カリー,カリー,カリー,family,NA,NA,current
270,シャーリー・カリー,シャーリー,シャーリー,given,NA,NA,current
270,シャーリー・カリー,シャーリー・カリー,シャーリー・カリー,full,NA,NA,current
271,シュアン,シュアン,シュアン,full,NA,NA,current
272,シュラウド,シュラウド,シュラウド,full,NA,NA,current
273,ショアイブ・アクタール,アクタール,アクタール,family,NA,NA,current
273,ショアイブ・アクタール,ショアイブ,ショアイブ,given,NA,NA,current
273,ショアイブ・アクタール,ショアイブ・アクタール,ショアイブ・アクタール,full,NA,NA,current
274,ショーン・マグワイア,マグワイア,マグワイア,family,NA,1988,current
274,ショーン・マグワイア,ショーン,ショーン,given,NA,1988,current
274,ショーン・マグワイア,ショーン・マグワイア,ショーン・マグワイア,full,NA,1988,current
275,シンテイル,シンテイル,シンテイル,full,NA,NA,current
276,シークエンスはやとも,シークエンスはやとも,シークエンスハヤトモ,full,NA,NA,current
277,シーラン・ジェイ・ジャオ,ジャオ,ジャオ,family,NA,NA,current
277,シーラン・ジェイ・ジャオ,シーラン,シーラン,given,NA,NA,current
277,シーラン・ジェイ・ジャオ,シーラン・ジェイ・ジャオ,シーラン・ジェイ・ジャオ,full,NA,NA,current
278,ジェイク・ザイラス,ザイラス,ザイラス,family,NA,2005,current
278,ジェイク・ザイラス,ジェイク,ジェイク,given,NA,2005,current
278,ジェイク・ザイラス,ジェイク・ザイラス,ジェイク・ザイラス,full,NA,2005,current
279,ジェイク・ポール,ポール,ポール,family,NA,2013,current
279,ジェイク・ポール,ジェイク,ジェイク,given,NA,2013,current
279,ジェイク・ポール,ジェイク・ポール,ジェイク・ポール,full,NA,2013,current
280,ジェイミー・オリヴァー,オリヴァー,オリヴァー,family,NA,NA,current
280,ジェイミー・オリヴァー,ジェイミー,ジェイミー,given,NA,NA,current
280,ジェイミー・オリヴァー,ジェイミー・オリヴァー,ジェイミー・オリヴァー,full,NA,NA,current
281,ジェイ・レノ,レノ,レノ,family,NA,1973,current
281,ジェイ・レノ,ジェイ,ジェイ,given,NA,1973,current
281,ジェイ・レノ,ジェイ・レノ,ジェイ・レノ,full,NA,1973,current
282,ジェドソン・ライプリー,ライプリー,ライプリー,family,NA,2006,current
282,ジェドソン・ライプリー,ジェドソン,ジェドソン,given,NA,2006,current
282,ジェドソン・ライプリー,ジェドソン・ライプリー,ジェドソン・ライプリー,full,NA,2006,current
283,ジェナ・マーブルス,マーブルス,マーブルス,family,NA,NA,current
283,ジェナ・マーブルス,ジェナ,ジェナ,given,NA,NA,current
283,ジェナ・マーブルス,ジェナ・マーブルス,ジェナ・マーブルス,full,NA,NA,current
284,ジェマ・ルイーズ,ルイーズ,ルイーズ,family,NA,NA,current
284,ジェマ・ルイーズ,ジェマ,ジェマ,given,NA,NA,current
284,ジェマ・ルイーズ,ジェマ・ルイーズ,ジェマ・ルイーズ,full,NA,NA,current
285,ジェリー・ヘイル,ヘイル,ヘイル,family,NA,2017,current
285,ジェリー・ヘイル,ジェリー,ジェリー,given,NA,2017,current
285,ジェリー・ヘイル,ジェリー・ヘイル,ジェリー・ヘイル,full,NA,2017,current
286,ジジ・ゴージャス,ゴージャス,ゴージャス,family,NA,2008,current
286,ジジ・ゴージャス,ジジ,ジジ,given,NA,2008,current
286,ジジ・ゴージャス,ジジ・ゴージャス,ジジ・ゴージャス,full,NA,2008,current
287,ジディオン,ジディオン,ジディオン,full,NA,NA,current
288,ジブおじさん,ジブおじさん,ジブオジサン,full,NA,NA,current
289,ジミー・コンラッド,コンラッド,コンラッド,family,NA,1998,former
289,ジミー・コンラッド,ジミー,ジミー,given,NA,1998,former
289,ジミー・コンラッド,ジミー・コンラッド,ジミー・コンラッド,full,NA,1998,former
290,ジャスティン・エザリック,エザリック,エザリック,family,NA,2006,current
290,ジャスティン・エザリック,ジャスティン,ジャスティン,given,NA,2006,current
290,ジャスティン・エザリック,ジャスティン・エザリック,ジャスティン・エザリック,full,NA,2006,current
291,ジャスティン・チョン,チョン,チョン,family,NA,2005,current
291,ジャスティン・チョン,ジャスティン,ジャスティン,given,NA,2005,current
291,ジャスティン・チョン,ジャスティン・チョン,ジャスティン・チョン,full,NA,2005,current
292,ジャックセプティックアイ,ジャックセプティックアイ,ジャックセプティックアイ,full,NA,2007,current
293,ジャック・ブラック,ブラック,ブラック,family,テネイシャスD/西部全米脚本家組合,1982,current
293,ジャック・ブラック,ジャック,ジャック,given,テネイシャスD/西部全米脚本家組合,1982,current
293,ジャック・ブラック,ジャック・ブラック,ジャック・ブラック,full,テネイシャスD/西部全米脚本家組合,1982,current
294,ジャニー,ジャニー,ジャニー,full,NCT/NCT 127/NCT U,2017,current
295,ジャニーン・ワイゲル,ワイゲル,ワイゲル,family,NA,2010,current
295,ジャニーン・ワイゲル,ジャニーン,ジャニーン,given,NA,2010,current
295,ジャニーン・ワイゲル,ジャニーン・ワイゲル,ジャニーン・ワイゲル,full,NA,2010,current
296,ジュジュ・スミス＝シュスター,シュスター,シュスター,family,NA,NA,current
296,ジュジュ・スミス＝シュスター,ジュジュ,ジュジュ,given,NA,NA,current
296,ジュジュ・スミス＝シュスター,ジュジュ・スミス＝シュスター,ジュジュ・スミス・シュスター,full,NA,NA,current
297,ジュール・ルブラン,ルブラン,ルブラン,family,NA,2008,current
297,ジュール・ルブラン,ジュール,ジュール,given,NA,2008,current
297,ジュール・ルブラン,ジュール・ルブラン,ジュール・ルブラン,full,NA,2008,current
298,ジョイ・ヴィラ,ヴィラ,ヴィラ,family,NA,2001,current
298,ジョイ・ヴィラ,ジョイ,ジョイ,given,NA,2001,current
298,ジョイ・ヴィラ,ジョイ・ヴィラ,ジョイ・ヴィラ,full,NA,2001,current
299,ジョシュ・ペック,ペック,ペック,family,NA,1996,current
299,ジョシュ・ペック,ジョシュ,ジョシュ,given,NA,1996,current
299,ジョシュ・ペック,ジョシュ・ペック,ジョシュ・ペック,full,NA,1996,current
300,ジョジョ・シワ,シワ,シワ,family,NA,2013,current
300,ジョジョ・シワ,ジョジョ,ジョジョ,given,NA,2013,current
300,ジョジョ・シワ,ジョジョ・シワ,ジョジョ・シワ,full,NA,2013,current
301,ジョン・グリーン,グリーン,グリーン,family,グリーン・ブラザーズ/ケニオン大学/ブックリスト,2005,current
301,ジョン・グリーン,ジョン,ジョン,given,グリーン・ブラザーズ/ケニオン大学/ブックリスト,2005,current
301,ジョン・グリーン,ジョン・グリーン,ジョン・グリーン,full,グリーン・ブラザーズ/ケニオン大学/ブックリスト,2005,current
302,ジョン・ハイロ・ベラスケス,ベラスケス,ベラスケス,family,メデジン・カルテル,1986,current
302,ジョン・ハイロ・ベラスケス,ジョン,ジョン,given,メデジン・カルテル,1986,current
302,ジョン・ハイロ・ベラスケス,ジョン・ハイロ・ベラスケス,ジョン・ハイロ・ベラスケス,full,メデジン・カルテル,1986,current
303,ジョーダン・ピーターソン,ピーターソン,ピーターソン,family,インテレクチュアル・ダークウェブ/デイリー・ワイヤー/トロント大学/ハーバード大学/マギル大学,NA,current
303,ジョーダン・ピーターソン,ジョーダン,ジョーダン,given,インテレクチュアル・ダークウェブ/デイリー・ワイヤー/トロント大学/ハーバード大学/マギル大学,NA,current
303,ジョーダン・ピーターソン,ジョーダン・ピーターソン,ジョーダン・ピーターソン,full,インテレクチュアル・ダークウェブ/デイリー・ワイヤー/トロント大学/ハーバード大学/マギル大学,NA,current
304,ジョード・カリム,カリム,カリム,family,NA,1998,current
304,ジョード・カリム,ジョード,ジョード,given,NA,1998,current
304,ジョード・カリム,ジョード・カリム,ジョード・カリム,full,NA,1998,current
305,ジョーブログ,ジョーブログ,ジョーブログ,full,NA,2014,current
306,スィリアック・ハリス,ハリス,ハリス,family,NA,1998,current
306,スィリアック・ハリス,スィリアック,スィリアック,given,NA,1998,current
306,スィリアック・ハリス,スィリアック・ハリス,スィリアック・ハリス,full,NA,1998,current
307,スカーロード,スカーロード,スカーロード,full,NA,2014,current
308,スティーブン・ヒー,ヒー,ヒー,family,NA,2019,current
308,スティーブン・ヒー,スティーブン,スティーブン,given,NA,2019,current
308,スティーブン・ヒー,スティーブン・ヒー,スティーブン・ヒー,full,NA,2019,current
309,スティーヴォー,スティーヴォー,スティーヴォー,full,NA,1997,current
310,スラヴァ・マーロウ,マーロウ,マーロウ,family,NA,2015,current
310,スラヴァ・マーロウ,スラヴァ,スラヴァ,given,NA,2015,current
310,スラヴァ・マーロウ,スラヴァ・マーロウ,スラヴァ・マーロウ,full,NA,2015,current
311,スーツ,スーツ,スーツ,full,NA,NA,current
312,セリーヌ・デプト,デプト,デプト,family,NA,NA,current
312,セリーヌ・デプト,セリーヌ,セリーヌ,given,NA,NA,current
312,セリーヌ・デプト,セリーヌ・デプト,セリーヌ・デプト,full,NA,NA,current
313,セルゲイ・クワエフ,クワエフ,クワエフ,family,NA,NA,current
313,セルゲイ・クワエフ,セルゲイ,セルゲイ,given,NA,NA,current
313,セルゲイ・クワエフ,セルゲイ・クワエフ,セルゲイ・クワエフ,full,NA,NA,current
314,ソフィア・シキチェンコ,シキチェンコ,シキチェンコ,family,NA,NA,current
314,ソフィア・シキチェンコ,ソフィア,ソフィア,given,NA,NA,current
314,ソフィア・シキチェンコ,ソフィア・シキチェンコ,ソフィア・シキチェンコ,full,NA,NA,current
315,ソメクガフィン,ソメクガフィン,ソメクガフィン,full,NA,NA,current
316,ソラ,ソラ,ソラ,full,Mamamoo,2014,current
317,ソ・スミン,スミン,スミン,family,NA,NA,current
317,ソ・スミン,ソ,ソ,given,NA,NA,current
317,ソ・スミン,ソ・スミン,ソ・スミン,full,NA,NA,current
318,ソーダポッピン,ソーダポッピン,ソーダポッピン,full,NA,NA,current
319,タイス・デスキュフォン,デスキュフォン,デスキュフォン,family,アクション・フランセーズ,NA,current
319,タイス・デスキュフォン,タイス,タイス,given,アクション・フランセーズ,NA,current
319,タイス・デスキュフォン,タイス・デスキュフォン,タイス・デスキュフォン,full,アクション・フランセーズ,NA,current
320,タケヤキ翔,タケヤキ翔,タケヤキショウ,full,ラトゥラトゥ,NA,current
321,ターイ・オラタイ,オラタイ,オラタイ,family,NA,1999,current
321,ターイ・オラタイ,ターイ,ターイ,given,NA,1999,current
321,ターイ・オラタイ,ターイ・オラタイ,ターイ・オラタイ,full,NA,1999,current
322,ダクアヴィス,ダクアヴィス,ダクアヴィス,full,NA,NA,current
323,ダコタ・ローズ,ローズ,ローズ,family,NA,2011,current
323,ダコタ・ローズ,ダコタ,ダコタ,given,NA,2011,current
323,ダコタ・ローズ,ダコタ・ローズ,ダコタ・ローズ,full,NA,2011,current
324,ダミアン・ウォルターズ,ウォルターズ,ウォルターズ,family,NA,NA,current
324,ダミアン・ウォルターズ,ダミアン,ダミアン,given,NA,NA,current
324,ダミアン・ウォルターズ,ダミアン・ウォルターズ,ダミアン・ウォルターズ,full,NA,NA,current
325,ダ・ヴィンチ・恐山,ダ・ヴィンチ・恐山,ダ・ヴィンチ・オソレザン,full,バーグハンバーグバーグ,NA,current
326,チャーリー・プース,プース,プース,family,NA,2009,current
326,チャーリー・プース,チャーリー,チャーリー,given,NA,2009,current
326,チャーリー・プース,チャーリー・プース,チャーリー・プース,full,NA,2009,current
327,チョン・ソンハ,ソンハ,ソンハ,family,NA,2006,current
327,チョン・ソンハ,チョン,チョン,given,NA,2006,current
327,チョン・ソンハ,チョン・ソンハ,チョン・ソンハ,full,NA,2006,current
328,テイラー・マーシャル,マーシャル,マーシャル,family,聖トマス・モア大学,NA,current
328,テイラー・マーシャル,テイラー,テイラー,given,聖トマス・モア大学,NA,current
328,テイラー・マーシャル,テイラー・マーシャル,テイラー・マーシャル,full,聖トマス・モア大学,NA,current
329,テクノブレード,テクノブレード,テクノブレード,full,Dream SMP,2009,former
330,テラ・ナオミ,ナオミ,ナオミ,family,NA,2002,current
330,テラ・ナオミ,テラ,テラ,given,NA,2002,current
330,テラ・ナオミ,テラ・ナオミ,テラ・ナオミ,full,NA,2002,current
331,テリー・ハッチャー,ハッチャー,ハッチャー,family,NA,1985,current
331,テリー・ハッチャー,テリー,テリー,given,NA,1985,current
331,テリー・ハッチャー,テリー・ハッチャー,テリー・ハッチャー,full,NA,1985,current
332,ディラン・オブライエン,オブライエン,オブライエン,family,NA,2010,current
332,ディラン・オブライエン,ディラン,ディラン,given,NA,2010,current
332,ディラン・オブライエン,ディラン・オブライエン,ディラン・オブライエン,full,NA,2010,current
333,デイヴ・ルービン,ルービン,ルービン,family,インテレクチュアル・ダークウェブ,1998,current
333,デイヴ・ルービン,デイヴ,デイヴ,given,インテレクチュアル・ダークウェブ,1998,current
333,デイヴ・ルービン,デイヴ・ルービン,デイヴ・ルービン,full,インテレクチュアル・ダークウェブ,1998,current
334,デカキン,デカキン,デカキン,full,NA,2014,current
335,デボちゃん,デボちゃん,デボチャン,full,NA,NA,current
336,デヴィッド・プラマー,プラマー,プラマー,family,マイクロソフト,NA,current
336,デヴィッド・プラマー,デヴィッド,デヴィッド,given,マイクロソフト,NA,current
336,デヴィッド・プラマー,デヴィッド・プラマー,デヴィッド・プラマー,full,マイクロソフト,NA,current
337,デヴィ・スカルノ,スカルノ,スカルノ,family,NA,NA,current
337,デヴィ・スカルノ,デヴィ,デヴィ,given,NA,NA,current
337,デヴィ・スカルノ,デヴィ・スカルノ,デヴィ・スカルノ,full,NA,NA,current
338,トカチョフ・サワ,サワ,サワ,family,サワヤン,NA,current
338,トカチョフ・サワ,トカチョフ,トカチョフ,given,サワヤン,NA,current
338,トカチョフ・サワ,トカチョフ・サワ,トカチョフ・サワ,full,サワヤン,NA,current
339,トカチョフ・ヤン,ヤン,ヤン,family,サワヤン,NA,current
339,トカチョフ・ヤン,トカチョフ,トカチョフ,given,サワヤン,NA,current
339,トカチョフ・ヤン,トカチョフ・ヤン,トカチョフ・ヤン,full,サワヤン,NA,current
340,トクサン,トクサン,トクサン,full,NA,NA,current
341,トニー・マラーノ,マラーノ,マラーノ,family,NA,NA,current
341,トニー・マラーノ,トニー,トニー,given,NA,NA,current
341,トニー・マラーノ,トニー・マラーノ,トニー・マラーノ,full,NA,NA,current
342,トミック,トミック,トミック,full,NA,NA,current
343,トムスカ,トムスカ,トムスカ,full,NA,NA,current
344,トラゾー,トラゾー,トラゾー,full,日常組,NA,current
345,トレバー・バウアー,バウアー,バウアー,family,NA,NA,current
345,トレバー・バウアー,トレバー,トレバー,given,NA,NA,current
345,トレバー・バウアー,トレバー・バウアー,トレバー・バウアー,full,NA,NA,current
346,トロイ・シヴァン,シヴァン,シヴァン,family,NA,2006,current
346,トロイ・シヴァン,トロイ,トロイ,given,NA,2006,current
346,トロイ・シヴァン,トロイ・シヴァン,トロイ・シヴァン,full,NA,2006,current
347,トーマス・デーリー,デーリー,デーリー,family,NA,NA,current
347,トーマス・デーリー,トーマス,トーマス,given,NA,NA,current
347,トーマス・デーリー,トーマス・デーリー,トーマス・デーリー,full,NA,NA,current
348,ドズル,ドズル,ドズル,full,ドズル社,NA,current
349,ドリーム,ドリーム,ドリーム,full,Dream SMP/ドリーム・チーム,2014,current
350,ナナオ,ナナオ,ナナオ,full,NA,NA,current
351,ニキータ・ミハルコフ,ミハルコフ,ミハルコフ,family,NA,1959,current
351,ニキータ・ミハルコフ,ニキータ,ニキータ,given,NA,1959,current
351,ニキータ・ミハルコフ,ニキータ・ミハルコフ,ニキータ・ミハルコフ,full,NA,1959,current
352,ニック・ディジョバンニ,ディジョバンニ,ディジョバンニ,family,NA,2018,current
352,ニック・ディジョバンニ,ニック,ニック,given,NA,2018,current
352,ニック・ディジョバンニ,ニック・ディジョバンニ,ニック・ディジョバンニ,full,NA,2018,current
353,ニンジャ,ニンジャ,ニンジャ,full,NA,NA,current
354,ノア・マンク,マンク,マンク,family,NA,2007,current
354,ノア・マンク,ノア,ノア,given,NA,2007,current
354,ノア・マンク,ノア・マンク,ノア・マンク,full,NA,2007,current
355,ノッコン寺田,ノッコン寺田,ノッコンテラダ,full,NA,NA,current
356,ハイグレ玉夫,ハイグレ玉夫,ハイグレタマオ,full,NA,NA,current
357,ハンナ・ストッキング,ストッキング,ストッキング,family,NA,NA,current
357,ハンナ・ストッキング,ハンナ,ハンナ,given,NA,NA,current
357,ハンナ・ストッキング,ハンナ・ストッキング,ハンナ・ストッキング,full,NA,NA,current
358,バヤシ,バヤシ,バヤシ,full,NA,NA,current
359,バラッツ・アンド・ベレタ,ベレタ,ベレタ,family,NA,NA,current
359,バラッツ・アンド・ベレタ,バラッツ,バラッツ,given,NA,NA,current
359,バラッツ・アンド・ベレタ,バラッツ・アンド・ベレタ,バラッツ・アンド・ベレタ,full,NA,NA,current
360,バンカラジオ,バンカラジオ,バンカラジオ,full,NA,NA,current
361,バンディ,バンディ,バンディ,full,NA,NA,current
362,パシンペロンはやぶさ,パシンペロンはやぶさ,パシンペロンハヤブサ,full,NA,NA,current
363,パパラピーズ,パパラピーズ,パパラピーズ,full,NA,NA,current
364,パペットスンスン,パペットスンスン,パペットスンスン,full,NA,NA,current
365,パリー・グリップ,グリップ,グリップ,family,ナーフ・ハーダー,1994,current
365,パリー・グリップ,パリー,パリー,given,ナーフ・ハーダー,1994,current
365,パリー・グリップ,パリー・グリップ,パリー・グリップ,full,ナーフ・ハーダー,1994,current
366,パーカー,パーカー,パーカー,full,NA,NA,current
367,パース・ナクン,ナクン,ナクン,family,NA,NA,current
367,パース・ナクン,パース,パース,given,NA,NA,current
367,パース・ナクン,パース・ナクン,パース・ナクン,full,NA,NA,current
368,ヒカル・ナカムラ,ナカムラ,ナカムラ,family,NA,NA,current
368,ヒカル・ナカムラ,ヒカル,ヒカル,given,NA,NA,current
368,ヒカル・ナカムラ,ヒカル・ナカムラ,ヒカル・ナカムラ,full,NA,NA,current
369,ヒデオマン,ヒデオマン,ヒデオマン,full,NA,NA,current
370,ヒトデ,ヒトデ,ヒトデ,full,NA,NA,current
371,ヒヨごん,ヒヨごん,ヒヨゴン,full,NA,NA,current
372,ピューディパイ,ピューディパイ,ピューディパイ,full,NA,2006,current
373,ピョン・リー,リー,リー,family,NA,NA,current
373,ピョン・リー,ピョン,ピョン,given,NA,NA,current
373,ピョン・リー,ピョン・リー,ピョン・リー,full,NA,NA,current
374,ピョ・ウンジ,ウンジ,ウンジ,family,NA,NA,current
374,ピョ・ウンジ,ピョ,ピョ,given,NA,NA,current
374,ピョ・ウンジ,ピョ・ウンジ,ピョ・ウンジ,full,NA,NA,current
375,ピーター・オークレー,オークレー,オークレー,family,NA,2006,current
375,ピーター・オークレー,ピーター,ピーター,given,NA,2006,current
375,ピーター・オークレー,ピーター・オークレー,ピーター・オークレー,full,NA,2006,current
376,ピーター・シフ,シフ,シフ,family,NA,NA,current
376,ピーター・シフ,ピーター,ピーター,given,NA,NA,current
376,ピーター・シフ,ピーター・シフ,ピーター・シフ,full,NA,NA,current
377,ピーター・ホーレンス,ホーレンス,ホーレンス,family,NA,2002,current
377,ピーター・ホーレンス,ピーター,ピーター,given,NA,2002,current
377,ピーター・ホーレンス,ピーター・ホーレンス,ピーター・ホーレンス,full,NA,2002,current
378,ファブリシオ・ディ・パオロ,パオロ,パオロ,family,NA,2008,current
378,ファブリシオ・ディ・パオロ,ファブリシオ,ファブリシオ,given,NA,2008,current
378,ファブリシオ・ディ・パオロ,ファブリシオ・ディ・パオロ,ファブリシオ・ディ・パオロ,full,NA,2008,current
379,フィディアス・パナヨトゥ,パナヨトゥ,パナヨトゥ,family,NA,NA,current
379,フィディアス・パナヨトゥ,フィディアス,フィディアス,given,NA,NA,current
379,フィディアス・パナヨトゥ,フィディアス・パナヨトゥ,フィディアス・パナヨトゥ,full,NA,NA,current
380,フェリシア・デイ,デイ,デイ,family,西部全米脚本家組合,2001,current
380,フェリシア・デイ,フェリシア,フェリシア,given,西部全米脚本家組合,2001,current
380,フェリシア・デイ,フェリシア・デイ,フェリシア・デイ,full,西部全米脚本家組合,2001,current
381,フルコン,フルコン,フルコン,full,NA,NA,current
382,フレディ・ウォン,ウォン,ウォン,family,NA,NA,current
382,フレディ・ウォン,フレディ,フレディ,given,NA,NA,current
382,フレディ・ウォン,フレディ・ウォン,フレディ・ウォン,full,NA,NA,current
383,不破遥香,不破,フワ,family,NA,NA,current
383,不破遥香,遥香,ハルカ,given,NA,NA,current
383,不破遥香,不破遥香,フワハルカ,full,NA,NA,current
384,ブッチ・ハートマン,ハートマン,ハートマン,family,NA,1986,current
384,ブッチ・ハートマン,ブッチ,ブッチ,given,NA,1986,current
384,ブッチ・ハートマン,ブッチ・ハートマン,ブッチ・ハートマン,full,NA,1986,current
385,ブライアン,ブライアン,ブライアン,full,NA,NA,current
386,ブライアン・メイ,メイ,メイ,family,クイーン/スマイル/ブライアン・メイ・バンド/ロック・エイド・アルメニア,1964,current
386,ブライアン・メイ,ブライアン,ブライアン,given,クイーン/スマイル/ブライアン・メイ・バンド/ロック・エイド・アルメニア,1964,current
386,ブライアン・メイ,ブライアン・メイ,ブライアン・メイ,full,クイーン/スマイル/ブライアン・メイ・バンド/ロック・エイド・アルメニア,1964,current
387,ブランドン・ハーデスティ,ハーデスティ,ハーデスティ,family,NA,2006,current
387,ブランドン・ハーデスティ,ブランドン,ブランドン,given,NA,2006,current
387,ブランドン・ハーデスティ,ブランドン・ハーデスティ,ブランドン・ハーデスティ,full,NA,2006,current
388,ブランドン・ロジャース,ロジャース,ロジャース,family,NA,2004,current
388,ブランドン・ロジャース,ブランドン,ブランドン,given,NA,2004,current
388,ブランドン・ロジャース,ブランドン・ロジャース,ブランドン・ロジャース,full,NA,2004,current
389,ブリアナ・ギガンテ,ギガンテ,ギガンテ,family,NA,NA,current
389,ブリアナ・ギガンテ,ブリアナ,ブリアナ,given,NA,NA,current
389,ブリアナ・ギガンテ,ブリアナ・ギガンテ,ブリアナ・ギガンテ,full,NA,NA,current
390,ブルック・ブローダック,ブローダック,ブローダック,family,NA,2005,current
390,ブルック・ブローダック,ブルック,ブルック,given,NA,2005,current
390,ブルック・ブローダック,ブルック・ブローダック,ブルック・ブローダック,full,NA,2005,current
391,ブレイクスルー佐々木,ブレイクスルー佐々木,ブレイクスルーササキ,full,NA,NA,current
392,プチプラのあや,プチプラのあや,プチプラノアヤ,full,NA,NA,current
393,プラークボーイマックス,プラークボーイマックス,プラークボーイマックス,full,NA,NA,current
394,プー・ルイ,ルイ,ルイ,family,BILLIE IDLE/BiS/LUI FRONTiC 赤羽JAPAN/PIGGS,2009,current
394,プー・ルイ,プー,プー,given,BILLIE IDLE/BiS/LUI FRONTiC 赤羽JAPAN/PIGGS,2009,current
394,プー・ルイ,プー・ルイ,プー・ルイ,full,BILLIE IDLE/BiS/LUI FRONTiC 赤羽JAPAN/PIGGS,2009,current
395,ベイクド・アラスカ,アラスカ,アラスカ,family,キャピトル・レコーズ/バズフィード/ワーナー・レコード,NA,current
395,ベイクド・アラスカ,ベイクド,ベイクド,given,キャピトル・レコーズ/バズフィード/ワーナー・レコード,NA,current
395,ベイクド・アラスカ,ベイクド・アラスカ,ベイクド・アラスカ,full,キャピトル・レコーズ/バズフィード/ワーナー・レコード,NA,current
396,ベイビー・アリエル,アリエル,アリエル,family,NA,2015,current
396,ベイビー・アリエル,ベイビー,ベイビー,given,NA,2015,current
396,ベイビー・アリエル,ベイビー・アリエル,ベイビー・アリエル,full,NA,2015,current
397,ベイビー・キーム,キーム,キーム,family,NA,2014,current
397,ベイビー・キーム,ベイビー,ベイビー,given,NA,2014,current
397,ベイビー・キーム,ベイビー・キーム,ベイビー・キーム,full,NA,2014,current
398,ベッキー・クルーエル,クルーエル,クルーエル,family,クルーエル・エンジェルス,2007,current
398,ベッキー・クルーエル,ベッキー,ベッキー,given,クルーエル・エンジェルス,2007,current
398,ベッキー・クルーエル,ベッキー・クルーエル,ベッキー・クルーエル,full,クルーエル・エンジェルス,2007,current
399,ベッキー・スメサースト,スメサースト,スメサースト,family,クライスト・チャーチ/ノッティンガム大学/ロールス・ロイス・ホールディングス,NA,current
399,ベッキー・スメサースト,ベッキー,ベッキー,given,クライスト・チャーチ/ノッティンガム大学/ロールス・ロイス・ホールディングス,NA,current
399,ベッキー・スメサースト,ベッキー・スメサースト,ベッキー・スメサースト,full,クライスト・チャーチ/ノッティンガム大学/ロールス・ロイス・ホールディングス,NA,current
400,ベル・デルフィン,デルフィン,デルフィン,family,NA,2015,current
400,ベル・デルフィン,ベル,ベル,given,NA,2015,current
400,ベル・デルフィン,ベル・デルフィン,ベル・デルフィン,full,NA,2015,current
401,ベンベン,ベンベン,ベンベン,full,GOT7,2014,current
402,ホポップ,ホポップ,ホポップ,full,NA,NA,current
403,ホモサピ,ホモサピ,ホモサピ,full,NA,NA,current
404,ボドカ,ボドカ,ボドカ,full,NA,NA,current
405,ボニー・アーロンズ,アーロンズ,アーロンズ,family,NA,1994,current
405,ボニー・アーロンズ,ボニー,ボニー,given,NA,1994,current
405,ボニー・アーロンズ,ボニー・アーロンズ,ボニー・アーロンズ,full,NA,1994,current
406,ボニー・ライト,ライト,ライト,family,NA,2001,current
406,ボニー・ライト,ボニー,ボニー,given,NA,2001,current
406,ボニー・ライト,ボニー・ライト,ボニー・ライト,full,NA,2001,current
407,ボー・バーナム,バーナム,バーナム,family,東部全米脚本家組合,2006,current
407,ボー・バーナム,ボー,ボー,given,東部全米脚本家組合,2006,current
407,ボー・バーナム,ボー・バーナム,ボー・バーナム,full,東部全米脚本家組合,2006,current
408,ポピー,ポピー,ポピー,full,NA,2011,current
409,ポモ,ポモ,ポモ,full,NA,NA,current
410,ポーちゃん,ポーちゃん,ポーチャン,full,NA,NA,current
411,マイククラック,マイククラック,マイククラック,full,NA,2008,current
412,マイケル・スティーヴンス,スティーヴンス,スティーヴンス,family,NA,2008,current
412,マイケル・スティーヴンス,マイケル,マイケル,given,NA,2008,current
