id,original,surface,pronunciation
633,オジロニジキジ,オジロニジキジ,オジロニジキジ
634,サメイロミツスイ,サメイロミツスイ,サメイロミツスイ
635,セグロウミスズメ,セグロウミスズメ,セグロウミスズメ
636,ハシナガフウキンチョウ,ハシナガフウキンチョウ,ハシナガフウキンチョウ
637,ウマ,ウマ,ウマ
638,スンダウグイス,スンダウグイス,スンダウグイス
639,カワネズミ,カワネズミ,カワネズミ
640,フサオスナネズミ,フサオスナネズミ,フサオスナネズミ
641,アマゾンヤチマウス,アマゾンヤチマウス,アマゾンヤチマウス
642,ヒメセイブモグラ,ヒメセイブモグラ,ヒメセイブモグラ
643,ヒメハブ,ヒメハブ,ヒメハブ
644,ハイイロシギダチョウ,ハイイロシギダチョウ,ハイイロシギダチョウ
645,チャバラビタキ,チャバラビタキ,チャバラビタキ
646,ヤブサヨナキドリ,ヤブサヨナキドリ,ヤブサヨナキドリ
647,サバクネズミカンガルー,サバクネズミカンガルー,サバクネズミカンガルー
648,ホソオカマドドリ,ホソオカマドドリ,ホソオカマドドリ
649,ケニアクサマウス,ケニアクサマウス,ケニアクサマウス
650,ホオアカオナガゴシキドリ,ホオアカオナガゴシキドリ,ホオアカオナガゴシキドリ
651,チャイロカマハシフウチョウ,チャイロカマハシフウチョウ,チャイロカマハシフウチョウ
652,スミレビタイテリハチドリ,スミレビタイテリハチドリ,スミレビタイテリハチドリ
653,カギハシオオハシモズ,カギハシオオハシモズ,カギハシオオハシモズ
654,ジュケイ,ジュケイ,ジュケイ
655,ヒメクジラドリ,ヒメクジラドリ,ヒメクジラドリ
656,ムネアカジアリドリ,ムネアカジアリドリ,ムネアカジアリドリ
657,ムナグロセワタビタキ,ムナグロセワタビタキ,ムナグロセワタビタキ
658,キンセイチョウ,キンセイチョウ,キンセイチョウ
659,ウチワインコ,ウチワインコ,ウチワインコ
660,ショウジョウインコ,ショウジョウインコ,ショウジョウインコ
661,オウギオハチドリ,オウギオハチドリ,オウギオハチドリ
662,シロボウシフウキンチョウ,シロボウシフウキンチョウ,シロボウシフウキンチョウ
663,キバラアオバト,キバラアオバト,キバラアオバト
664,キイロハシナガムシクイ,キイロハシナガムシクイ,キイロハシナガムシクイ
665,ヒメノガン,ヒメノガン,ヒメノガン
666,クロテナガザル,クロテナガザル,クロテナガザル
667,カクビクロツバメ,カクビクロツバメ,カクビクロツバメ
668,ズアカオナガカマドドリ,ズアカオナガカマドドリ,ズアカオナガカマドドリ
669,シマノジコ,シマノジコ,シマノジコ
670,コウライミヤマネズミ,コウライミヤマネズミ,コウライミヤマネズミ
671,オグロキヌバネドリ,オグロキヌバネドリ,オグロキヌバネドリ
672,シロハラホウカンチョウ,シロハラホウカンチョウ,シロハラホウカンチョウ
673,ムネジロクロツバメ,ムネジロクロツバメ,ムネジロクロツバメ
674,クビワツグミ,クビワツグミ,クビワツグミ
675,アオハシインコ,アオハシインコ,アオハシインコ
676,ジフウキンチョウ,ジフウキンチョウ,ジフウキンチョウ
677,ミドリキクイタダキモドキ,ミドリキクイタダキモドキ,ミドリキクイタダキモドキ
678,コカンムリホロホロチョウ,コカンムリホロホロチョウ,コカンムリホロホロチョウ
679,シロビタイキバネミツスイ,シロビタイキバネミツスイ,シロビタイキバネミツスイ
680,ヤブウズラ,ヤブウズラ,ヤブウズラ
681,シンジュアリモズ,シンジュアリモズ,シンジュアリモズ
682,プロサーパインイワワラビー,プロサーパインイワワラビー,プロサーパインイワワラビー
683,ヨシハタネズミ,ヨシハタネズミ,ヨシハタネズミ
684,ウスイロハシボソヒバリ,ウスイロハシボソヒバリ,ウスイロハシボソヒバリ
685,キムネヒメジアリドリ,キムネヒメジアリドリ,キムネヒメジアリドリ
686,オーストラリアオオコウモリ,オーストラリアオオコウモリ,オーストラリアオオコウモリ
687,オナガハシリバト,オナガハシリバト,オナガハシリバト
688,オリーブハエトリ,オリーブハエトリ,オリーブハエトリ
689,ユインタシマリス,ユインタシマリス,ユインタシマリス
690,オオスナネズミ,オオスナネズミ,オオスナネズミ
691,コマツグミ,コマツグミ,コマツグミ
692,マツアメリカムシクイ,マツアメリカムシクイ,マツアメリカムシクイ
693,タンガニイカ湖産カワスズメ,タンガニイカ湖産カワスズメ,タンガニイカ湖産カワスズメ
694,セボシエンビシキチョウ,セボシエンビシキチョウ,セボシエンビシキチョウ
695,オオバン,オオバン,オオバン
696,モリカナリア,モリカナリア,モリカナリア
697,ホソオクモネズミ,ホソオクモネズミ,ホソオクモネズミ
698,グァムクイナ,グァムクイナ,グァムクイナ
699,アサヒスズメ,アサヒスズメ,アサヒスズメ
700,スリナムモリトゲネズミ,スリナムモリトゲネズミ,スリナムモリトゲネズミ
701,アンテキヌス,アンテキヌス,アンテキヌス
702,ケープギツネ,ケープギツネ,ケープギツネ
703,ヘラジカ,ヘラジカ,ヘラジカ
704,ノドジロサザイチメドリ,ノドジロサザイチメドリ,ノドジロサザイチメドリ
705,クロエボシアリモズ,クロエボシアリモズ,クロエボシアリモズ
706,アンデスカモメ,アンデスカモメ,アンデスカモメ
707,ナイルティラピア(イズミダイ),ナイルティラピア(イズミダイ),ナイルティラピア(イズミダイ)
708,オーストラリアカワリオオタカ,オーストラリアカワリオオタカ,オーストラリアカワリオオタカ
709,ニュートンヒタキ,ニュートンヒタキ,ニュートンヒタキ
710,ブタ,ブタ,ブタ
711,イノシシ,イノシシ,イノシシ
712,カワアナゴ,カワアナゴ,カワアナゴ
713,コズアカチャイロチメドリ,コズアカチャイロチメドリ,コズアカチャイロチメドリ
714,ヤシカマドドリ,ヤシカマドドリ,ヤシカマドドリ
715,ハイイロジネズミオポッサム,ハイイロジネズミオポッサム,ハイイロジネズミオポッサム
716,ダグラスリス,ダグラスリス,ダグラスリス
717,タイカンチョウ,タイカンチョウ,タイカンチョウ
718,キイロカナリア,キイロカナリア,キイロカナリア
719,アンダマンカンムリワシ,アンダマンカンムリワシ,アンダマンカンムリワシ
720,ムラサキハチクイ,ムラサキハチクイ,ムラサキハチクイ
721,オナガサイホウチョウ,オナガサイホウチョウ,オナガサイホウチョウ
722,ハルマヘラズクヨタカ,ハルマヘラズクヨタカ,ハルマヘラズクヨタカ
723,タイリクシマドジョウ,タイリクシマドジョウ,タイリクシマドジョウ
724,イソヒヨドリ,イソヒヨドリ,イソヒヨドリ
725,コモンツパイ,コモンツパイ,コモンツパイ
726,ゴマフオナガゴシキドリ,ゴマフオナガゴシキドリ,ゴマフオナガゴシキドリ
727,ノドフカンムリチメドリ,ノドフカンムリチメドリ,ノドフカンムリチメドリ
728,アカメヒヨドリ,アカメヒヨドリ,アカメヒヨドリ
729,オーストラリアヨシキリ,オーストラリアヨシキリ,オーストラリアヨシキリ
730,マルオジリス,マルオジリス,マルオジリス
731,サヤハシチドリ,サヤハシチドリ,サヤハシチドリ
732,コハクチョウ,コハクチョウ,コハクチョウ
733,コウウチョウ,コウウチョウ,コウウチョウ
734,エドワーズオオアシヌマネズミ,エドワーズオオアシヌマネズミ,エドワーズオオアシヌマネズミ
735,セジロネズミドリ,セジロネズミドリ,セジロネズミドリ
736,アカソデボウシインコ,アカソデボウシインコ,アカソデボウシインコ
737,カラフトムジセッカ,カラフトムジセッカ,カラフトムジセッカ
738,チャバラクロキンパラ,チャバラクロキンパラ,チャバラクロキンパラ
739,キガシラボウシインコ,キガシラボウシインコ,キガシラボウシインコ
740,アラビアカラムシクイ,アラビアカラムシクイ,アラビアカラムシクイ
741,ハイガシラヤブコマ,ハイガシラヤブコマ,ハイガシラヤブコマ
742,ハイムネヒヨドリ,ハイムネヒヨドリ,ハイムネヒヨドリ
743,プエルトリコアメリカムシクイ,プエルトリコアメリカムシクイ,プエルトリコアメリカムシクイ
744,カンムリヅル,カンムリヅル,カンムリヅル
745,ハヌマンラングール,ハヌマンラングール,ハヌマンラングール
746,シロガオリュウキュウガモ,シロガオリュウキュウガモ,シロガオリュウキュウガモ
747,エンビハチクイ,エンビハチクイ,エンビハチクイ
748,オジロハイイロタイランチョウ,オジロハイイロタイランチョウ,オジロハイイロタイランチョウ
749,コアホウドリ,コアホウドリ,コアホウドリ
750,ナンヨウネズミ,ナンヨウネズミ,ナンヨウネズミ
751,ワキジロカササギビタキ,ワキジロカササギビタキ,ワキジロカササギビタキ
752,ミスジアリツグミ,ミスジアリツグミ,ミスジアリツグミ
753,ギアナトゲコメネズミ,ギアナトゲコメネズミ,ギアナトゲコメネズミ
754,ウタイセッカ,ウタイセッカ,ウタイセッカ
755,クロツラヘラサギ,クロツラヘラサギ,クロツラヘラサギ
756,イベリアミズハタネズミ,イベリアミズハタネズミ,イベリアミズハタネズミ
757,ホオジロマユミソサザイ,ホオジロマユミソサザイ,ホオジロマユミソサザイ
758,コスズメフクロウ,コスズメフクロウ,コスズメフクロウ
759,チャムネヒヨドリ,チャムネヒヨドリ,チャムネヒヨドリ
760,ワラルー,ワラルー,ワラルー
761,ムラサキサギ,ムラサキサギ,ムラサキサギ
762,トガリプラニガーレ,トガリプラニガーレ,トガリプラニガーレ
763,ウスアフリカジュズカケバト,ウスアフリカジュズカケバト,ウスアフリカジュズカケバト
764,シロスジモリサザイ,シロスジモリサザイ,シロスジモリサザイ
765,コゲチャタンビオタテドリ,コゲチャタンビオタテドリ,コゲチャタンビオタテドリ
766,シロハヤブサ,シロハヤブサ,シロハヤブサ
767,タヒバリ,タヒバリ,タヒバリ
768,インドネシアコガモ,インドネシアコガモ,インドネシアコガモ
769,コミドリフタオハチドリ,コミドリフタオハチドリ,コミドリフタオハチドリ
770,シンジュトビ,シンジュトビ,シンジュトビ
771,タイリクモモンガ,タイリクモモンガ,タイリクモモンガ
772,コツメカワウソ,コツメカワウソ,コツメカワウソ
773,キンビタイヒメキツツキ,キンビタイヒメキツツキ,キンビタイヒメキツツキ
774,アオムネシロメジリハチドリ,アオムネシロメジリハチドリ,アオムネシロメジリハチドリ
775,ヒメトゲハシムシクイ,ヒメトゲハシムシクイ,ヒメトゲハシムシクイ
776,シロクロアリドリ,シロクロアリドリ,シロクロアリドリ
777,クロアゴヒメアオバト,クロアゴヒメアオバト,クロアゴヒメアオバト
778,エクアドルコメネズミ,エクアドルコメネズミ,エクアドルコメネズミ
779,ソコトラタイヨウチョウ,ソコトラタイヨウチョウ,ソコトラタイヨウチョウ
780,アフリカスナバシリ,アフリカスナバシリ,アフリカスナバシリ
781,ヤマキリス,ヤマキリス,ヤマキリス
782,トロフェウス・モーリー,トロフェウス・モーリー,トロフェウス・モーリー
783,ゲルディマーモセット,ゲルディマーモセット,ゲルディマーモセット
784,フウチョウモドキ,フウチョウモドキ,フウチョウモドキ
785,コモンチョウ,コモンチョウ,コモンチョウ
786,ホッキョククジラ,ホッキョククジラ,ホッキョククジラ
787,バンクスオオコウモリ,バンクスオオコウモリ,バンクスオオコウモリ
788,ワライハヤブサ,ワライハヤブサ,ワライハヤブサ
789,ヒボウシマルオマイコドリ,ヒボウシマルオマイコドリ,ヒボウシマルオマイコドリ
790,モリツグミ,モリツグミ,モリツグミ
791,シロミミオポッサム,シロミミオポッサム,シロミミオポッサム
792,フサホロホロチョウ,フサホロホロチョウ,フサホロホロチョウ
793,ハラジロカマイルカ,ハラジロカマイルカ,ハラジロカマイルカ
794,ナガレタゴガエル,ナガレタゴガエル,ナガレタゴガエル
795,カナリーバト,カナリーバト,カナリーバト
796,キバラコトンラット,キバラコトンラット,キバラコトンラット
797,ヤブタヒバリ,ヤブタヒバリ,ヤブタヒバリ
798,ヤリタナゴ,ヤリタナゴ,ヤリタナゴ
799,メガネアリドリ,メガネアリドリ,メガネアリドリ
800,キマユガラ,キマユガラ,キマユガラ
801,シロハラカトリタイランチョウ,シロハラカトリタイランチョウ,シロハラカトリタイランチョウ
802,オオミミアシナガマウス,オオミミアシナガマウス,オオミミアシナガマウス
803,クチヒゲタマリン,クチヒゲタマリン,クチヒゲタマリン
804,アカシマアジ,アカシマアジ,アカシマアジ
805,アンデススズメフクロウ,アンデススズメフクロウ,アンデススズメフクロウ
806,アメリカムラサキバン,アメリカムラサキバン,アメリカムラサキバン
807,ルリガシラハシリブッポウソウ,ルリガシラハシリブッポウソウ,ルリガシラハシリブッポウソウ
808,カンムリシロムク,カンムリシロムク,カンムリシロムク
809,アポタイヨウチョウ,アポタイヨウチョウ,アポタイヨウチョウ
810,コクロルリノジコ,コクロルリノジコ,コクロルリノジコ
811,クロズキンムクドリモドキ,クロズキンムクドリモドキ,クロズキンムクドリモドキ
812,スズメバト,スズメバト,スズメバト
813,ズグロホシアリドリ,ズグロホシアリドリ,ズグロホシアリドリ
814,コバシシギダチョウ,コバシシギダチョウ,コバシシギダチョウ
815,エミンハダシアレチネズミ,エミンハダシアレチネズミ,エミンハダシアレチネズミ
816,ヒレンジャク,ヒレンジャク,ヒレンジャク
817,ニホンリス,ニホンリス,ニホンリス
818,シマクマゲラ,シマクマゲラ,シマクマゲラ
819,ヒメケアシスミントプシス,ヒメケアシスミントプシス,ヒメケアシスミントプシス
820,パラモオタテドリ,パラモオタテドリ,パラモオタテドリ
821,キタヤブハエトリ,キタヤブハエトリ,キタヤブハエトリ
822,ルソンテングフルーツコウモリ,ルソンテングフルーツコウモリ,ルソンテングフルーツコウモリ
823,カササギムクドリ,カササギムクドリ,カササギムクドリ
824,セグロジャッカル,セグロジャッカル,セグロジャッカル
825,ケープハシビロガモ,ケープハシビロガモ,ケープハシビロガモ
826,コザクラバシガン,コザクラバシガン,コザクラバシガン
827,アメリカクビワレミング,アメリカクビワレミング,アメリカクビワレミング
828,オオトガリネズミ,オオトガリネズミ,オオトガリネズミ
829,サバクニセマウス,サバクニセマウス,サバクニセマウス
830,エレガントワラビー,エレガントワラビー,エレガントワラビー
831,コバタン,コバタン,コバタン
832,モリハチネズミ,モリハチネズミ,モリハチネズミ
833,コミミオオアシマウス,コミミオオアシマウス,コミミオオアシマウス
834,ヒスパニオラシマセゲラ,ヒスパニオラシマセゲラ,ヒスパニオラシマセゲラ
835,ヌマヨシキリ,ヌマヨシキリ,ヌマヨシキリ
836,アカメモズモドキ,アカメモズモドキ,アカメモズモドキ
837,キジバト,キジバト,キジバト
838,ネズミクイ,ネズミクイ,ネズミクイ
839,ノドグロアメリカムシクイ,ノドグロアメリカムシクイ,ノドグロアメリカムシクイ
840,アオボウシインコ,アオボウシインコ,アオボウシインコ
841,ウールディアスミントプシス,ウールディアスミントプシス,ウールディアスミントプシス
842,セグロイロムシクイ,セグロイロムシクイ,セグロイロムシクイ
843,オオコウウチョウ,オオコウウチョウ,オオコウウチョウ
844,チリツコツコ,チリツコツコ,チリツコツコ
845,テリカラスフウチョウ,テリカラスフウチョウ,テリカラスフウチョウ
846,エツ,エツ,エツ
847,ズグロカエデチョウ,ズグロカエデチョウ,ズグロカエデチョウ
848,オナガホウオウジャク,オナガホウオウジャク,オナガホウオウジャク
849,シラガトビ,シラガトビ,シラガトビ
850,クロワキムラサキカザリドリ,クロワキムラサキカザリドリ,クロワキムラサキカザリドリ
851,コブハゲミツスイ,コブハゲミツスイ,コブハゲミツスイ
852,チャボウシツグミ,チャボウシツグミ,チャボウシツグミ
853,アフリカタテガミヤマアラシ,アフリカタテガミヤマアラシ,アフリカタテガミヤマアラシ
854,オオソリハシシギ,オオソリハシシギ,オオソリハシシギ
855,ヒメウミツバメ,ヒメウミツバメ,ヒメウミツバメ
856,クバリーガラス,クバリーガラス,クバリーガラス
857,ニュートンハムスター,ニュートンハムスター,ニュートンハムスター
858,マダライタチ,マダライタチ,マダライタチ
859,ジョンストンモリジャコウネズミ,ジョンストンモリジャコウネズミ,ジョンストンモリジャコウネズミ
860,サバンナシマウマ,サバンナシマウマ,サバンナシマウマ
861,ムクドリモドキ,ムクドリモドキ,ムクドリモドキ
862,ブンチョウ,ブンチョウ,ブンチョウ
863,カワミンタイ,カワミンタイ,カワミンタイ
864,ムジハイイロエボシドリ,ムジハイイロエボシドリ,ムジハイイロエボシドリ
865,アルゼンチンヒメウソ,アルゼンチンヒメウソ,アルゼンチンヒメウソ
866,ダルマエナガ,ダルマエナガ,ダルマエナガ
867,スズミツスイ,スズミツスイ,スズミツスイ
868,オオホウカンチョウ,オオホウカンチョウ,オオホウカンチョウ
869,オナガマーモット,オナガマーモット,オナガマーモット
870,アカクロサギ,アカクロサギ,アカクロサギ
871,ホイオオコノハズク,ホイオオコノハズク,ホイオオコノハズク
872,ホンドギツネ,ホンドギツネ,ホンドギツネ
873,カンムリカザリキヌバネドリ,カンムリカザリキヌバネドリ,カンムリカザリキヌバネドリ
874,ブタバナアナグマ,ブタバナアナグマ,ブタバナアナグマ
875,ヒメオオコウモリ,ヒメオオコウモリ,ヒメオオコウモリ
876,クンスジネズミオポッサム,クンスジネズミオポッサム,クンスジネズミオポッサム
877,ミドリフタオハチドリ,ミドリフタオハチドリ,ミドリフタオハチドリ
878,オオトゲカッコウ,オオトゲカッコウ,オオトゲカッコウ
879,アカバネマユアリサザイ,アカバネマユアリサザイ,アカバネマユアリサザイ
880,ウスバヤブカローネズミ,ウスバヤブカローネズミ,ウスバヤブカローネズミ
881,クロホシマンジュウダイ,クロホシマンジュウダイ,クロホシマンジュウダイ
882,シエラマドレジリス,シエラマドレジリス,シエラマドレジリス
883,エボシガラ,エボシガラ,エボシガラ
884,アリクイ,アリクイ,アリクイ
885,キバシカッコウ,キバシカッコウ,キバシカッコウ
886,ヒマラヤズアカミユビゲラ,ヒマラヤズアカミユビゲラ,ヒマラヤズアカミユビゲラ
887,カザリショウビン,カザリショウビン,カザリショウビン
888,ブタアシバンディクート,ブタアシバンディクート,ブタアシバンディクート
889,ヒメモリツバメ,ヒメモリツバメ,ヒメモリツバメ
890,ナイルサバンナネズミ,ナイルサバンナネズミ,ナイルサバンナネズミ
891,ビクーニャ,ビクーニャ,ビクーニャ
892,マダラカササギビタキ,マダラカササギビタキ,マダラカササギビタキ
893,コキンメフクロウ,コキンメフクロウ,コキンメフクロウ
894,クロキンシコウ,クロキンシコウ,クロキンシコウ
895,タウンゼンドオオミミオオコオモリ,タウンゼンドオオミミオオコオモリ,タウンゼンドオオミミオオコオモリ
896,セアオエンビシキチョウ,セアオエンビシキチョウ,セアオエンビシキチョウ
897,ミナミノドジロムシクイ,ミナミノドジロムシクイ,ミナミノドジロムシクイ
898,ニホンモモンガ,ニホンモモンガ,ニホンモモンガ
899,シロスジムクドリモドキ,シロスジムクドリモドキ,シロスジムクドリモドキ
900,スナメリ,スナメリ,スナメリ
901,スベオアルマジロ,スベオアルマジロ,スベオアルマジロ
902,ススイロジネズミ,ススイロジネズミ,ススイロジネズミ
903,アルゼンチンヤチマウス,アルゼンチンヤチマウス,アルゼンチンヤチマウス
904,アカナキウサギ,アカナキウサギ,アカナキウサギ
905,キツネツバメ,キツネツバメ,キツネツバメ
906,マミジロカルガモ,マミジロカルガモ,マミジロカルガモ
907,シマドジョウ,シマドジョウ,シマドジョウ
908,アリゾナトガリネズミ,アリゾナトガリネズミ,アリゾナトガリネズミ
909,ヒマラヤナキウサギ,ヒマラヤナキウサギ,ヒマラヤナキウサギ
910,タイワンザル,タイワンザル,タイワンザル
911,オリーブミドリオオツリスドリ,オリーブミドリオオツリスドリ,オリーブミドリオオツリスドリ
912,クロズキンガビチョウ,クロズキンガビチョウ,クロズキンガビチョウ
913,ヒイラギ,ヒイラギ,ヒイラギ
914,セグロエボシアリモズ,セグロエボシアリモズ,セグロエボシアリモズ
915,ガーネットハチドリ,ガーネットハチドリ,ガーネットハチドリ
916,ヘイゲンクルークネズミ,ヘイゲンクルークネズミ,ヘイゲンクルークネズミ
917,アカチャツグミマイコドリ,アカチャツグミマイコドリ,アカチャツグミマイコドリ
918,チャイロコノハヒヨドリ,チャイロコノハヒヨドリ,チャイロコノハヒヨドリ
919,コムラサキインコ,コムラサキインコ,コムラサキインコ
920,アカモズ,アカモズ,アカモズ
921,ミナミハジロバト,ミナミハジロバト,ミナミハジロバト
922,シリアカオタテドリ,シリアカオタテドリ,シリアカオタテドリ
923,ソロモンケナシフルーツコウモリ,ソロモンケナシフルーツコウモリ,ソロモンケナシフルーツコウモリ
924,ヨシネズミ,ヨシネズミ,ヨシネズミ
925,ロビンソンテングフルーツコウモリ,ロビンソンテングフルーツコウモリ,ロビンソンテングフルーツコウモリ
926,タマシギ,タマシギ,タマシギ
927,タケドリ,タケドリ,タケドリ
928,ペルーウロコツグミ,ペルーウロコツグミ,ペルーウロコツグミ
929,ツノヤイロチョウ,ツノヤイロチョウ,ツノヤイロチョウ
930,コバハチネズミ,コバハチネズミ,コバハチネズミ
931,ヨーロッパビンズイ,ヨーロッパビンズイ,ヨーロッパビンズイ
932,オレンジクサビオモモンガ,オレンジクサビオモモンガ,オレンジクサビオモモンガ
933,ヒメサバクガラス,ヒメサバクガラス,ヒメサバクガラス
934,ギンガメアジ,ギンガメアジ,ギンガメアジ
935,ノドジロフウキンチョウ,ノドジロフウキンチョウ,ノドジロフウキンチョウ
936,キバシヒワ,キバシヒワ,キバシヒワ
937,ブタゲモズ,ブタゲモズ,ブタゲモズ
938,ハシジロコウギョクチョウ,ハシジロコウギョクチョウ,ハシジロコウギョクチョウ
939,ベーリングユキホオジロ,ベーリングユキホオジロ,ベーリングユキホオジロ
940,ソコロシロハラミソサザイ,ソコロシロハラミソサザイ,ソコロシロハラミソサザイ
941,メジロハエトリ,メジロハエトリ,メジロハエトリ
942,クロシラナミアリモズ,クロシラナミアリモズ,クロシラナミアリモズ
943,コビトカワセミ,コビトカワセミ,コビトカワセミ
944,キガシラテンニョゲラ,キガシラテンニョゲラ,キガシラテンニョゲラ
945,シロガシライソヒヨ,シロガシライソヒヨ,シロガシライソヒヨ
946,ノドジロシトド,ノドジロシトド,ノドジロシトド
947,カッコウサンショウクイ,カッコウサンショウクイ,カッコウサンショウクイ
948,モンツキヒロハシ,モンツキヒロハシ,モンツキヒロハシ
949,シロミミクサビオモモンガ,シロミミクサビオモモンガ,シロミミクサビオモモンガ
950,パプアガマグチヨタカ,パプアガマグチヨタカ,パプアガマグチヨタカ
951,サンタクルスカケス,サンタクルスカケス,サンタクルスカケス
952,ニワカマドドリ,ニワカマドドリ,ニワカマドドリ
953,シロハラクリセジアリドリ,シロハラクリセジアリドリ,シロハラクリセジアリドリ
954,ヨルマウス,ヨルマウス,ヨルマウス
955,エリマキカマドドリ,エリマキカマドドリ,エリマキカマドドリ
956,ホウロクシギ,ホウロクシギ,ホウロクシギ
957,ウリチヤチマウス,ウリチヤチマウス,ウリチヤチマウス
958,フナシカザリドリモドキ,フナシカザリドリモドキ,フナシカザリドリモドキ
959,テミングオオコウモリ,テミングオオコウモリ,テミングオオコウモリ
960,アカチャミソサザイ,アカチャミソサザイ,アカチャミソサザイ
961,ヒメコバシガラス,ヒメコバシガラス,ヒメコバシガラス
962,ハシボソアオヒヨ,ハシボソアオヒヨ,ハシボソアオヒヨ
963,エゾリス,エゾリス,エゾリス
964,アカネズミカンガルー,アカネズミカンガルー,アカネズミカンガルー
965,トラフグ,トラフグ,トラフグ
966,キタセレベスオオコウモリ,キタセレベスオオコウモリ,キタセレベスオオコウモリ
967,ハシグロツカツクリ,ハシグロツカツクリ,ハシグロツカツクリ
968,バスラオオヨシキリ,バスラオオヨシキリ,バスラオオヨシキリ
969,ミミグロダルマエナガ,ミミグロダルマエナガ,ミミグロダルマエナガ
970,カグー,カグー,カグー
971,ツノウズラ,ツノウズラ,ツノウズラ
972,ビロードキンクロ,ビロードキンクロ,ビロードキンクロ
973,チャバラカンムリチメドリ,チャバラカンムリチメドリ,チャバラカンムリチメドリ
974,ムナジロカワガラス,ムナジロカワガラス,ムナジロカワガラス
975,コビトミソサザイ,コビトミソサザイ,コビトミソサザイ
976,ミナミオポッサム,ミナミオポッサム,ミナミオポッサム
977,ススチャヒタキ,ススチャヒタキ,ススチャヒタキ
978,ナンキョクアジサシ,ナンキョクアジサシ,ナンキョクアジサシ
979,アユモドキ,アユモドキ,アユモドキ
980,アーチボルドネズミ,アーチボルドネズミ,アーチボルドネズミ
981,キバラアオヒヨドリ,キバラアオヒヨドリ,キバラアオヒヨドリ
982,ムササビ,ムササビ,ムササビ
983,クロスジオニキバシリ,クロスジオニキバシリ,クロスジオニキバシリ
984,オオハシカッコウ,オオハシカッコウ,オオハシカッコウ
985,ウスイロハマヒバリ,ウスイロハマヒバリ,ウスイロハマヒバリ
986,パタゴニアチンチラマウス,パタゴニアチンチラマウス,パタゴニアチンチラマウス
987,アンダーソントゲネズミ,アンダーソントゲネズミ,アンダーソントゲネズミ
988,ウグイス,ウグイス,ウグイス
989,エジプトガン,エジプトガン,エジプトガン
990,キボシオニキバシリ,キボシオニキバシリ,キボシオニキバシリ
991,モコ,モコ,モコ
992,キャンベルモンキー,キャンベルモンキー,キャンベルモンキー
993,タンシキバシリ,タンシキバシリ,タンシキバシリ
994,クロハラサケイ,クロハラサケイ,クロハラサケイ
995,ハイイロモリフウキンチョウ,ハイイロモリフウキンチョウ,ハイイロモリフウキンチョウ
996,カナリーキクイタダキ,カナリーキクイタダキ,カナリーキクイタダキ
997,シロガシラカマドドリ,シロガシラカマドドリ,シロガシラカマドドリ
998,コシジロミドリツバメ,コシジロミドリツバメ,コシジロミドリツバメ
999,ミドリミヤマツグミ,ミドリミヤマツグミ,ミドリミヤマツグミ
1000,シロマユノスリ,シロマユノスリ,シロマユノスリ
1001,キマユクビワスズメ,キマユクビワスズメ,キマユクビワスズメ
1002,エメラルドテリオハチドリ,エメラルドテリオハチドリ,エメラルドテリオハチドリ
1003,ヤブノウサギ,ヤブノウサギ,ヤブノウサギ
1004,マミジロタヒバリ,マミジロタヒバリ,マミジロタヒバリ
1005,オオハチドリ,オオハチドリ,オオハチドリ
1006,シカヤワゲマウス,シカヤワゲマウス,シカヤワゲマウス
1007,カザリリュウキュウガモ,カザリリュウキュウガモ,カザリリュウキュウガモ
1008,タイラ,タイラ,タイラ
1009,シファカ,シファカ,シファカ
1010,ブラジルヌマコトンラット,ブラジルヌマコトンラット,ブラジルヌマコトンラット
1011,トガリオインコ,トガリオインコ,トガリオインコ
1012,ケナガクマネズミ,ケナガクマネズミ,ケナガクマネズミ
1013,コダーウィンフィンチ,コダーウィンフィンチ,コダーウィンフィンチ
1014,ヒトリカマドドリ,ヒトリカマドドリ,ヒトリカマドドリ
1015,タイリクハクセキレイ,タイリクハクセキレイ,タイリクハクセキレイ
1016,ウトウ,ウトウ,ウトウ
1017,マダガスカルセッカ,マダガスカルセッカ,マダガスカルセッカ
1018,ギンイロシマアジ,ギンイロシマアジ,ギンイロシマアジ
1019,ツチフキ,ツチフキ,ツチフキ
1020,ハジロムクドリ,ハジロムクドリ,ハジロムクドリ
1021,サンショクキムネオオハシ,サンショクキムネオオハシ,サンショクキムネオオハシ
1022,フクロネコ,フクロネコ,フクロネコ
1023,タンビアリドリ,タンビアリドリ,タンビアリドリ
1024,キガシラムクドリモドキ,キガシラムクドリモドキ,キガシラムクドリモドキ
1025,マミジロウ,マミジロウ,マミジロウ
1026,コノハズク,コノハズク,コノハズク
1027,ヒインコ,ヒインコ,ヒインコ
1028,ズグロコセイインコ,ズグロコセイインコ,ズグロコセイインコ
1029,オオアシトガリネズミ,オオアシトガリネズミ,オオアシトガリネズミ
1030,アステカシロアシマスス,アステカシロアシマスス,アステカシロアシマスス
1031,ホオグロカエデチョウ,ホオグロカエデチョウ,ホオグロカエデチョウ
1032,ヒメホリカワコウモリ,ヒメホリカワコウモリ,ヒメホリカワコウモリ
1033,ニューブリテンケナシフルーツコウモリ,ニューブリテンケナシフルーツコウモリ,ニューブリテンケナシフルーツコウモリ
1034,タイワンツグミ,タイワンツグミ,タイワンツグミ
1035,ハシナガバト,ハシナガバト,ハシナガバト
1036,ムナオビカラムシクイ,ムナオビカラムシクイ,ムナオビカラムシクイ
